gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
OR52H1,ENSG00000181616,Q8NGJ2,Olfactory receptor family 52 subfamily H member 1,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
FDCSP,ENSG00000181617,Q8NFU4,Follicular dendritic cell secreted protein,4,Predicted secreted proteins,Evidence at protein level,Group enriched,Detected in many
GPR135,ENSG00000181619,Q8IZ08,G protein-coupled receptor 135,14,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in many
SLX1B,ENSG00000181625,Q9BQ83,"SLX1 homolog B, structure-specific endonuclease subunit",16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
ANKRD62,ENSG00000181626,A6NC57,Ankyrin repeat domain 62,18,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in single
P2RY13,ENSG00000181631,Q9BPV8,Purinergic receptor P2Y13,3,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
TNFSF15,ENSG00000181634,O95150,TNF superfamily member 15,9,"Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
ZFP41,ENSG00000181638,Q8N8Y5,ZFP41 zinc finger protein,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
PHLDA2,ENSG00000181649,Q53GA4,Pleckstrin homology like domain family A member 2,11,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
ATG9B,ENSG00000181652,Q674R7,Autophagy related 9B,7,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in some
GPR88,ENSG00000181656,Q9GZN0,G protein-coupled receptor 88,1,"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
ZNF875,ENSG00000181666,P10072,Zinc finger protein 875,19,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in all
PLAG1,ENSG00000181690,Q6DJT9,PLAG1 zinc finger,8,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
OR8H1,ENSG00000181693,Q8NGG4,Olfactory receptor family 8 subfamily H member 1,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
OR5T1,ENSG00000181698,Q8NG75,Olfactory receptor family 5 subfamily T member 1,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
YIPF6,ENSG00000181704,Q96EC8,Yip1 domain family member 6,X,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in all
OR5T2,ENSG00000181718,,Olfactory receptor family 5 subfamily T member 2,11,Predicted membrane proteins,Evidence at transcript level,Not detected,Not detected
ZBTB20,ENSG00000181722,Q9HC78,Zinc finger and BTB domain containing 20,3,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
OR2Z1,ENSG00000181733,Q8NG97,Olfactory receptor family 2 subfamily Z member 1,19,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
DIPK2A,ENSG00000181744,Q8NDZ4,Divergent protein kinase domain 2A,3,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in all
MACIR,ENSG00000181751,Q96GV9,Macrophage immunometabolism regulator,5,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
OR8K5,ENSG00000181752,Q8NH50,Olfactory receptor family 8 subfamily K member 5,11,"G-protein coupled receptors, Predicted membrane proteins",No human protein/transcript evidence,Not detected,Not detected
AMIGO1,ENSG00000181754,Q86WK6,Adhesion molecule with Ig like domain 1,1,"Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in many
OR8H3,ENSG00000181761,Q8N146,Olfactory receptor family 8 subfamily H member 3,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Not detected,Not detected
OR8H2,ENSG00000181767,Q8N162,Olfactory receptor family 8 subfamily H member 2,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
GPR3,ENSG00000181773,P46089,G protein-coupled receptor 3,1,"G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in some
TMEM252,ENSG00000181778,Q8N6L7,Transmembrane protein 252,9,Predicted membrane proteins,Evidence at protein level,Group enriched,Detected in many
ODF3L2,ENSG00000181781,Q3SX64,Outer dense fiber of sperm tails 3 like 2,19,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
OR5AS1,ENSG00000181785,Q8N127,Olfactory receptor family 5 subfamily AS member 1,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
ACTL9,ENSG00000181786,Q8TC94,Actin like 9,19,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in single
SIAH2,ENSG00000181788,O43255,Siah E3 ubiquitin protein ligase 2,3,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
COPG1,ENSG00000181789,Q9Y678,COPI coat complex subunit gamma 1,3,"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ADGRB1,ENSG00000181790,O14514,Adhesion G protein-coupled receptor B1,8,"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in many
OR6S1,ENSG00000181803,Q8NH40,Olfactory receptor family 6 subfamily S member 1,14,"G-protein coupled receptors, Predicted membrane proteins",No human protein/transcript evidence,Not detected,Not detected
SLC9A9,ENSG00000181804,Q8IVB4,Solute carrier family 9 member A9,3,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
LSM10,ENSG00000181817,Q969L4,"LSM10, U7 small nuclear RNA associated",1,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RELL1,ENSG00000181826,Q8IUW5,RELT like 1,4,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in all
RFX7,ENSG00000181827,Q2KHR2,Regulatory factor X7,15,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
SLC35C1,ENSG00000181830,Q96A29,Solute carrier family 35 member C1,11,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
TIGIT,ENSG00000181847,Q495A1,T cell immunoreceptor with Ig and ITIM domains,3,Predicted membrane proteins,Evidence at protein level,Tissue enriched,Detected in some
RNF41,ENSG00000181852,Q9H4P4,Ring finger protein 41,12,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC2A4,ENSG00000181856,P14672,Solute carrier family 2 member 4,17,"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
FTMT,ENSG00000181867,Q8N4E7,Ferritin mitochondrial,5,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in single
IBA57,ENSG00000181873,Q5T440,Iron-sulfur cluster assembly factor IBA57,1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
CLDN7,ENSG00000181885,O95471,Claudin 7,17,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
ZNF329,ENSG00000181894,Q86UD4,Zinc finger protein 329,19,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
ZNF101,ENSG00000181896,Q8IZC7,Zinc finger protein 101,19,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in all
OR4C6,ENSG00000181903,Q8NH72,Olfactory receptor family 4 subfamily C member 6,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
C5orf24,ENSG00000181904,Q7Z6I8,Chromosome 5 open reading frame 24,5,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
ADO,ENSG00000181915,Q96SZ5,2-aminoethanethiol dioxygenase,10,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
COA4,ENSG00000181924,Q9NYJ1,Cytochrome c oxidase assembly factor 4 homolog,11,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
OR4P4,ENSG00000181927,Q8NGL7,Olfactory receptor family 4 subfamily P member 4,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
PRKAG1,ENSG00000181929,P54619,Protein kinase AMP-activated non-catalytic subunit gamma 1,12,"FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
GINS3,ENSG00000181938,Q9BRX5,GINS complex subunit 3,16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
OR4C15,ENSG00000181939,Q8NGM1,Olfactory receptor family 4 subfamily C member 15,11,"G-protein coupled receptors, Predicted membrane proteins",No human protein/transcript evidence,Not detected,Not detected
OR4A15,ENSG00000181958,,Olfactory receptor family 4 subfamily A member 15,11,Predicted membrane proteins,No human protein/transcript evidence,Not detected,Not detected
OR4A16,ENSG00000181961,Q8NH70,Olfactory receptor family 4 subfamily A member 16,11,"Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins",No human protein/transcript evidence,Not detected,Not detected
OR52K2,ENSG00000181963,Q8NGK3,Olfactory receptor family 52 subfamily K member 2,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
NEUROG1,ENSG00000181965,Q92886,Neurogenin 1,5,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Not detected,Not detected
CCDC149,ENSG00000181982,Q6ZUS6,Coiled-coil domain containing 149,4,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
MRPS11,ENSG00000181991,P82912,Mitochondrial ribosomal protein S11,15,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
SNRPE,ENSG00000182004,P62304,Small nuclear ribonucleoprotein polypeptide E,1,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RTKN2,ENSG00000182010,Q8IZC4,Rhotekin 2,10,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in many
PNMA8A,ENSG00000182013,Q86V59,PNMA family member 8A,19,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
CHST15,ENSG00000182022,Q7LFX5,Carbohydrate sulfotransferase 15,10,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
ADIG,ENSG00000182035,Q0VDE8,Adipogenin,20,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at transcript level,Tissue enriched,Detected in some
USH1G,ENSG00000182040,Q495M9,USH1 protein network component sans,17,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
MGAT4C,ENSG00000182050,Q9UBM8,MGAT4 family member C,12,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at transcript level,Tissue enhanced,Detected in some
TRIM49B,ENSG00000182053,A6NDI0,Tripartite motif containing 49B,11,Predicted intracellular proteins,Evidence at transcript level,Not detected,Not detected
IDH2,ENSG00000182054,P48735,Isocitrate dehydrogenase (NADP(+)) 2,15,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in all
OR52A1,ENSG00000182070,Q9UKL2,Olfactory receptor family 52 subfamily A member 1,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
PTCHD3,ENSG00000182077,,Patched domain containing 3 (gene/pseudogene),10,Predicted membrane proteins,Evidence at transcript level,Tissue enriched,Detected in single
OR6B2,ENSG00000182083,Q6IFH4,Olfactory receptor family 6 subfamily B member 2,2,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
TMEM259,ENSG00000182087,Q4ZIN3,Transmembrane protein 259,19,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
GET1,ENSG00000182093,O00258,Guided entry of tail-anchored proteins factor 1,21,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
TNRC18,ENSG00000182095,O15417,Trinucleotide repeat containing 18,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
FAM181B,ENSG00000182103,A6NEQ2,Family with sequence similarity 181 member B,11,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
TMEM30B,ENSG00000182107,Q3MIR4,Transmembrane protein 30B,14,"Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in many
DEXI,ENSG00000182108,O95424,Dexi homolog,16,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in all
ZNF716,ENSG00000182111,A6NP11,Zinc finger protein 716,7,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Not detected,Not detected
NOP10,ENSG00000182117,Q9NPE3,NOP10 ribonucleoprotein,15,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
FAM89A,ENSG00000182118,Q96GI7,Family with sequence similarity 89 member A,1,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
KCNIP1,ENSG00000182132,Q9NZI2,Potassium voltage-gated channel interacting protein 1,5,"Predicted intracellular proteins, Transporters",Evidence at protein level,Group enriched,Detected in many
TDRKH,ENSG00000182134,Q9Y2W6,Tudor and KH domain containing,1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
ZNF708,ENSG00000182141,P17019,Zinc finger protein 708,19,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
IST1,ENSG00000182149,P53990,IST1 factor associated with ESCRT-III,16,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ERCC6L2,ENSG00000182150,Q5T890,ERCC excision repair 6 like 2,9,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
MRPL41,ENSG00000182154,Q8IXM3,Mitochondrial ribosomal protein L41,9,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Tissue enhanced,Detected in all
ENPP7,ENSG00000182156,Q6UWV6,Ectonucleotide pyrophosphatase/phosphodiesterase 7,17,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in some
CREB3L2,ENSG00000182158,Q70SY1,CAMP responsive element binding protein 3 like 2,7,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
P2RY8,ENSG00000182162,Q86VZ1,P2Y receptor family member 8,X,"Cancer-related genes, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in many
UNC5C,ENSG00000182168,O95185,Unc-5 netrin receptor C,4,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
MRGPRG,ENSG00000182170,Q86SM5,MAS related GPR family member G,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
TSEN54,ENSG00000182173,Q7Z6J9,TRNA splicing endonuclease subunit 54,17,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
RGMA,ENSG00000182175,Q96B86,Repulsive guidance molecule BMP co-receptor a,15,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
ASB18,ENSG00000182177,Q6ZVZ8,Ankyrin repeat and SOCS box containing 18,2,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,Group enriched,Detected in some
UBA7,ENSG00000182179,P41226,Ubiquitin like modifier activating enzyme 7,3,"Metabolic proteins, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
MRPS16,ENSG00000182180,Q9Y3D3,Mitochondrial ribosomal protein S16,10,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
SHISAL2A,ENSG00000182183,Q6UWV7,Shisa like 2A,1,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in some
RAD51B,ENSG00000182185,O15315,RAD51 paralog B,14,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
CRYGB,ENSG00000182187,P07316,Crystallin gamma B,2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Not detected,Not detected
LDOC1,ENSG00000182195,O95751,LDOC1 regulator of NFKB signaling,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
ARL6IP4,ENSG00000182196,Q66PJ3,ADP ribosylation factor like GTPase 6 interacting protein 4,12,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
EXT1,ENSG00000182197,Q16394,Exostosin glycosyltransferase 1,8,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
SHMT2,ENSG00000182199,P34897,Serine hydroxymethyltransferase 2,12,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
MOB2,ENSG00000182208,Q70IA6,MOB kinase activator 2,11,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
HHIPL1,ENSG00000182218,Q96JK4,HHIP like 1,14,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in many
ATP6AP2,ENSG00000182220,O75787,ATPase H+ transporting accessory protein 2,X,"Disease related genes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in all
ZAR1,ENSG00000182223,Q86SH2,Zygote arrest 1,4,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in single
CYB5D1,ENSG00000182224,Q6P9G0,Cytochrome b5 domain containing 1,17,"Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
BACE2,ENSG00000182240,Q9Y5Z0,Beta-secretase 2,21,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
UBE2E2,ENSG00000182247,Q96LR5,Ubiquitin conjugating enzyme E2 E2,3,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SYNM,ENSG00000182253,O15061,Synemin,15,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
KCNA4,ENSG00000182255,P22459,Potassium voltage-gated channel subfamily A member 4,11,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,Tissue enhanced,Detected in some
GABRG3,ENSG00000182256,Q99928,Gamma-aminobutyric acid type A receptor subunit gamma3,15,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
NLRP10,ENSG00000182261,Q86W26,NLR family pyrin domain containing 10,11,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
FIGN,ENSG00000182263,Q5HY92,"Fidgetin, microtubule severing factor",2,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
IZUMO1,ENSG00000182264,Q8IYV9,Izumo sperm-egg fusion 1,19,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
TMIGD1,ENSG00000182271,Q6UXZ0,Transmembrane and immunoglobulin domain containing 1,17,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
B4GALNT4,ENSG00000182272,Q76KP1,"Beta-1,4-N-acetyl-galactosaminyltransferase 4",11,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
AP1S2,ENSG00000182287,P56377,Adaptor related protein complex 1 subunit sigma 2,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in all
C8orf33,ENSG00000182307,Q9H7E9,Chromosome 8 open reading frame 33,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
DCAF4L1,ENSG00000182308,Q3SXM0,DDB1 and CUL4 associated factor 4 like 1,4,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
SPACA6,ENSG00000182310,W5XKT8,Sperm acrosome associated 6,19,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
MBD3L3,ENSG00000182315,A6NE82,Methyl-CpG binding domain protein 3 like 3,19,Predicted intracellular proteins,No human protein/transcript evidence,Not detected,Not detected
ZSCAN22,ENSG00000182318,P10073,Zinc finger and SCAN domain containing 22,19,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
KCNJ14,ENSG00000182324,Q9UNX9,Potassium inwardly rectifying channel subfamily J member 14,19,"FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,Tissue enriched,Detected in some
FBXL6,ENSG00000182325,Q8N531,F-box and leucine rich repeat protein 6,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
C1S,ENSG00000182326,P09871,Complement C1s,12,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in all
GLTPD2,ENSG00000182327,A6NH11,Glycolipid transfer protein domain containing 2,17,Predicted secreted proteins,Evidence at protein level,Tissue enriched,Detected in some
KIAA2012,ENSG00000182329,,KIAA2012,2,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
PRAMEF8,ENSG00000182330,Q5VWM4,PRAME family member 8,1,Predicted intracellular proteins,Evidence at transcript level,Not detected,Not detected
LIPF,ENSG00000182333,P07098,"Lipase F, gastric type",10,"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in many
OR5P3,ENSG00000182334,Q8WZ94,Olfactory receptor family 5 subfamily P member 3,11,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
DAOA,ENSG00000182346,P59103,D-amino acid oxidase activator,13,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Not detected,Not detected
ZNF804B,ENSG00000182348,A4D1E1,Zinc finger protein 804B,7,Predicted intracellular proteins,Evidence at transcript level,Tissue enriched,Detected in single
KBTBD3,ENSG00000182359,Q8NAB2,Kelch repeat and BTB domain containing 3,11,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
YBEY,ENSG00000182362,P58557,YbeY metalloendoribonuclease,21,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
CLN8,ENSG00000182372,Q9UBY8,CLN8 transmembrane ER and ERGIC protein,8,"Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
PLCXD1,ENSG00000182378,Q9NUJ7,Phosphatidylinositol specific phospholipase C X domain containing 1,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
NXPH4,ENSG00000182379,O95158,Neurexophilin 4,12,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in many
CACNB4,ENSG00000182389,O00305,Calcium voltage-gated channel auxiliary subunit beta 4,2,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in many
IFNL1,ENSG00000182393,Q8IU54,Interferon lambda 1,19,Predicted secreted proteins,Evidence at protein level,Not detected,Not detected
TRAPPC6B,ENSG00000182400,Q86SZ2,Trafficking protein particle complex subunit 6B,14,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PGBD4,ENSG00000182405,Q96DM1,PiggyBac transposable element derived 4,15,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
CDY2A,ENSG00000182415,Q9Y6F7,Chromodomain Y-linked 2A,Y,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
NPLOC4,ENSG00000182446,Q8TAT6,"NPL4 homolog, ubiquitin recognition factor",17,"Essential proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
OTOL1,ENSG00000182447,A6NHN0,Otolin 1,3,Predicted secreted proteins,Evidence at protein level,Not detected,Not detected
KCNK4,ENSG00000182450,Q9NYG8,Potassium two pore domain channel subfamily K member 4,11,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,Tissue enriched,Detected in single
TEX19,ENSG00000182459,Q8NA77,Testis expressed 19,17,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
TSHZ2,ENSG00000182463,Q9NRE2,Teashirt zinc finger homeobox 2,20,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
CAPN12,ENSG00000182472,Q6ZSI9,Calpain 12,19,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in many
EXOC7,ENSG00000182473,Q9UPT5,Exocyst complex component 7,17,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
OR2B8P,ENSG00000182477,,Olfactory receptor family 2 subfamily B member 8 pseudogene,6,Predicted membrane proteins,Evidence at transcript level,Not detected,Not detected
KPNA2,ENSG00000182481,P52292,Karyopherin subunit alpha 2,17,"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
WASH6P,ENSG00000182484,,"WASP family homolog 6, pseudogene",X,Predicted intracellular proteins,Evidence at transcript level,Low tissue specificity,Detected in many
XKRX,ENSG00000182489,Q6PP77,XK related X-linked,X,"Predicted membrane proteins, Transporters",Evidence at transcript level,Tissue enhanced,Detected in some
BGN,ENSG00000182492,P21810,Biglycan,X,"Disease related genes, Human disease related genes, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in many
CEP97,ENSG00000182504,Q8IW35,Centrosomal protein 97,3,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
